restaurant_id,DBA,BORO,CUISINE DESCRIPTION,Latitude,Longitude
50116794,LAMONTE,Brooklyn,American,40.71686983,-73.95659245
50116803,CAFE BY THE GIRLS,Manhattan,Coffee/Tea,40.74825058,-74.00549302
50116805,JUICY KING CRAB EXPRESS,Bronx,Seafood,40.84263503,-73.84565459
50116813,BOU'OTE,Brooklyn,Jewish/Kosher,40.66853062,-73.9367222
50116818,QIU SUSHI & TEA BAR,Queens,Japanese,40.73946119,-73.81509503
50116820,MIMOZA,Queens,Mediterranean,40.76495292,-73.91724097
50116821,CANTO,Manhattan,Italian,40.7350537,-74.00663217
50116822,NEW GARDEN,Bronx,Chinese,40.82864602,-73.8784396
50116829,WINGSTOP,Queens,Soul Food,40.71437334,-73.90110029
50116830,LINDA RESTAURANT,Brooklyn,Mexican,40.6375469,-73.96831099
50116832,AMANO BROOKLYN,Brooklyn,Coffee/Tea,40.68143934,-73.97087877
50116833,BOURKE STREET BAKERY,Manhattan,Bakery Products/Desserts,40.74233026,-74.00063153
50116836,NO CHEWING ALLOWED!,Manhattan,Other,40.73660979,-73.99067938
50116852,DEERFIELD / CURE / NACL CAFE,Manhattan,American,40.74160196,-73.98531612
50116861,POPEYES,Brooklyn,Chicken,40.70872964,-73.95875111
50116877,PANDA HOUSE,Manhattan,Chinese,40.86039771,-73.92800709
50116880,ZHEN PIN CAFE,Manhattan,Coffee/Tea,40.71724582,-73.99747843
50116882,BAYA BAR,Brooklyn,"Juice, Smoothies, Fruit Salads",40.66315977,-73.99154394
50116911,INSOMNIA COOKIES,Manhattan,Other,40.76520443,-73.98767545
50116922,EAVESDROP,Brooklyn,New American,40.72484404,-73.9513956
50116924,STARBUCKS COFFEE # 65421,Manhattan,Coffee/Tea,40.75486555,-74.00263489
50116929,TRUTH RESTAURANT AND LOUNGE,Queens,Caribbean,40.67632806,-73.74109766
50116938,SEAMORE'S,Manhattan,Seafood,40.77068238,-73.96069104
50116939,NAMKEEN,Brooklyn,Chicken,40.71280687,-73.96238098
50116940,NOME,Manhattan,Jewish/Kosher,40.73320622,-73.98992573
50116941,EMPIRE III,Manhattan,Chinese,40.80264211,-73.95295316
50116944,B & D HALAL FOOD,Manhattan,African,40.74918103,-73.99413877
50116948,MAD FOR CHICKEN,Manhattan,Korean,40.74200912,-74.00088775
50116955,HUNGRY HOUSE,Brooklyn,Fusion,40.69785037,-73.97098698
50116956,PUEBLO QUERIDO COFFEE ROASTERS,Brooklyn,Coffee/Tea,40.72523115,-73.95161539
50116957,SUN HING RESTAURANT,Brooklyn,Chinese,40.66473066,-73.89418856
50116958,CASA TOSCANA,Manhattan,Italian,40.73660979,-73.99067938
50116970,KAM KITCHEN,Queens,Chinese,40.68331355,-73.80647178
50116972,TAVERNA KYCLADES,Queens,Greek,40.77428087,-73.90807672
50116976,PURE GREEN,Brooklyn,"Juice, Smoothies, Fruit Salads",40.73557657,-73.95976643
50116979,CAFE HUGO,Manhattan,American,40.72635812,-74.00902334
50116980,SPRING THAI FUSION & BAR,Queens,Thai,40.72966969,-73.86113251
50116981,HUDSON YARDS TAVERN,Manhattan,American,40.75122601,-73.99786333
50116983,EL BASURERO,Queens,Latin American,40.75849876,-73.91936427
50117001,NO.8 CHINESE RESTAURANT,Bronx,Chinese,40.8627663,-73.90854686
50117013,BIG ARC CHICKEN,Manhattan,Middle Eastern,40.73113306,-73.98272418
50117016,NO CHEWING ALLOWED!,Manhattan,French,0.0,0.0
50117018,XI'AN FAMOUS FOODS,Manhattan,Chinese,40.70913468,-74.00929152
50117022,CHINA PALACE,Bronx,Chinese,40.8440426,-73.82976283
50117032,LILLY'S PIZZA BAR,Brooklyn,Pizza,40.68657032,-73.97506277
50117034,BROOKLYN MADE,Brooklyn,American,40.70721476,-73.922193
50117038,CHINA GARDEN CHINESE RESTAURANT,Brooklyn,Chinese,40.67448323,-73.93059151
50117047,$1 PIZZA,Manhattan,Pizza,40.73140884,-74.00117626
50117050,SUPER POLLO TO GO,Brooklyn,Spanish,40.68025398,-73.89295964
50117053,KYURAMEN/TBAAR,Queens,Japanese,40.76606335,-73.77227778
50117057,CARACAS ROCKAWAY,Queens,American,40.58110866,-73.82529119
50117060,TALK OF THE TRACK,Queens,American,40.67766457,-73.82875789
50117061,NG'S KITCHEN,Brooklyn,Chinese,40.63535505,-74.00970996
50117066,4 BOY 99 CENT PIZZA,Manhattan,Pizza,40.74971074,-73.99348907
50117094,THE POINT TAVERN,Staten Island,American,40.62881347,-74.11874525
50117111,PATTY HAUS,Brooklyn,"Juice, Smoothies, Fruit Salads",40.67161125,-73.94982314
50117112,IPIC THEATERS FULTON MARKET,Manhattan,American,40.70663177,-74.00347697
50117115,DUNKIN DONUTS,Bronx,Donuts,40.8857384,-73.91042107
50117116,SHAKE SHACK #1340,Manhattan,American,40.75880606,-73.97068238
50117118,LA DEVOZIONE,Manhattan,Italian,40.74186904,-74.00471301
50117119,DUNKIN DONUTS BASKIN ROBBINS,Bronx,Coffee/Tea,40.90688982,-73.90436531
50117121,TIGER SUGAR,Manhattan,Coffee/Tea,40.74756389,-73.98801797
50117122,Auntie Anne's,Bronx,Hotdogs/Pretzels,40.86590541,-73.83042975
50117123,THE LONG POUR,Manhattan,American,40.72950324,-73.9870218
50117125,BOSNA EXPRESS,Queens,Eastern European,40.70473491,-73.90249962
50117128,PARIS BAGUETTE,Queens,Bakery Products/Desserts,40.76680295,-73.92122782
50117129,DUNKIN,Manhattan,Donuts,40.79404395,-73.94919238
50117131,GRILL POINT,Manhattan,Jewish/Kosher,40.77710664,-73.95731127
50117132,ROKSTAR CHICKEN,Queens,Korean,40.75553629,-73.73839912
50117133,AGATA & VALENTINA,Manhattan,Sandwiches/Salads/Mixed Buffet,40.77244146,-73.95262076
50117137,SOBRE MASA,Brooklyn,Mexican,40.70641916,-73.9313913
50117139,RICEPOT THAI COOKHOUSE,Brooklyn,Thai,40.60488835,-73.99874675
50117148,Szechuan Kitchen,Queens,Chinese,40.70514281,-73.73988165
50117153,NOTHING REALLY MATTERS,Manhattan,American,40.7612735,-73.98416746
50117157,MORRIS PARK INN,Bronx,American,40.84850215,-73.85533153
50117158,CHINA CITY RESTAURANT,Bronx,Chinese,40.86066335,-73.89511926
50117185,WETZELS PRETZELS,Manhattan,Other,40.76681223,-73.98280875
50117186,XIN LA GONG FU,Queens,Korean,40.76471389,-73.82799533
50117187,APNA PIND,Queens,Indian,40.67622366,-73.81986764
50117190,DIG INN,Manhattan,American,40.7517211,-73.98008405
50117208,EL VALLE RENACER,Bronx,Latin American,40.8622609,-73.90145435
50117225,BED STUY FISH FRY,Brooklyn,Soul Food,40.66838923,-73.95062943
50117234,EMERALD PUB,Queens,Irish,40.73997977,-73.79100591
50117237,Yu Ni Xiang Yue,Queens,Chinese,40.76197113,-73.82933808
50117239,PEGASUS BROOKLYN,Brooklyn,American,40.62329614,-74.03113467
50117241,BLANK STREET,Manhattan,Coffee/Tea,40.74496246,-74.00242518
50117245,AVRILILILLYS CREAMERY,Manhattan,Bakery Products/Desserts,40.82168399,-73.95021177
50117247,BING & NOODLES BY CHOW HOUSE,Manhattan,Chinese,40.72971807,-73.99966084
50117248,MEZCALI,Manhattan,Mexican,40.70743579,-74.00760687
50117249,BEANS AND LEAVES CAFE,Staten Island,American,40.52251392,-74.23926612
50117251,DAN AND JOHN'S WINGS,Brooklyn,Chicken,40.69082623,-73.98345225
50117261,R-1 HOT PIZZA,Brooklyn,Pizza,40.64765817,-73.95815838
50117265,BLANK STREET,Manhattan,Coffee/Tea,40.72746328,-73.98251587
50117266,ZIGGLE,Queens,Korean,40.74420418,-73.92781194
50117269,WONDER PIG KBBQ,Queens,Korean,40.74420142,-73.92778308
50117278,THE CANUCK,Manhattan,American,40.74606861,-74.00161682
50117281,JUST SALAD,Manhattan,Soups/Salads/Sandwiches,40.76272453,-73.97834079
50117282,FOREST HILLS EXPRESS CAFE,Queens,American,40.73336913,-73.84983808
50117284,SHAKING CRAB,Staten Island,Seafood,40.57085729,-74.11047824
50117286,CAMPOS GRILL,Brooklyn,Mexican,40.68883233,-73.93921614
50117290,WHEN IN BANGKOK,Queens,Thai,40.76237827,-73.80413301
50117312,SHERRY'S WEAKNESS 4 SWEETNESS,Queens,Caribbean,40.69834971,-73.83469835
50117314,MCDONALD'S,Manhattan,Hamburgers,0.0,0.0
50117315,STOWAWAY,Brooklyn,American,40.73029043,-73.95326061
50117320,ANYTIME STREET,Manhattan,Korean,40.72876502,-73.98810796
50117331,MAMA G'S HALAL KITCHEN,Bronx,Middle Eastern,40.86590541,-73.83042975
50117339,PAPA JOHN'S,Brooklyn,Pizza,40.71124494,-73.94792473
50117340,PAPA JOHN'S,Queens,Pizza,40.71882627,-73.75776091
50117341,SANDWICH GIRL CAFE,Brooklyn,Mediterranean,40.67014454,-73.98479479
50117344,PANDA KING,Queens,Chinese,40.71273455,-73.73376301
50117351,MELODY'S PIANO BAR,Manhattan,American,40.77095724,-73.96182451
50117352,SEDGWICK PIZZA AND PASTA,Bronx,Pizza,40.88278427,-73.89338813
50117354,VESUVIO BAKERY,Manhattan,Bakery Products/Desserts,40.75123412,-73.99416385
